職業,性別,性格
戦士,男性,引っ込み思案
魔法使い,女性,引っ込み思案
僧侶,男性,あまえんぼう
僧侶,男性,むっつりスケベ
賢者,女性,あまえんぼう
遊び人,男性,むっつりスケベ
戦士,女性,あまえんぼう
商人,女性,一匹狼
戦士,男性,むっつりスケベ
武闘家,男性,むっつりスケベ
盗賊,男性,一匹狼
商人,男性,あまえんぼう
遊び人,女性,うっかりもの
賢者,女性,おてんば
魔法使い,男性,うっかりもの
僧侶,女性,うっかりもの
賢者,男性,うっかりもの
僧侶,女性,おてんば
武闘家,女性,引っ込み思案
商人,女性,おてんば
商人,女性,引っ込み思案
戦士,女性,おてんば
盗賊,女性,うっかりもの
賢者,女性,一匹狼
戦士,女性,うっかりもの
商人,男性,うっかりもの
遊び人,女性,おてんば
武闘家,女性,あまえんぼう
盗賊,男性,むっつりスケベ
盗賊,女性,おてんば
魔法使い,男性,あまえんぼう
遊び人,女性,あまえんぼう
僧侶,女性,引っ込み思案
武闘家,女性,一匹狼
商人,男性,むっつりスケベ
盗賊,男性,あまえんぼう
魔法使い,男性,むっつりスケベ
遊び人,女性,一匹狼
賢者,男性,引っ込み思案
賢者,男性,むっつりスケベ
戦士,女性,一匹狼
武闘家,女性,おてんば
武闘家,男性,うっかりもの
魔法使い,女性,おてんば
